104000109,1,8,13,30,32,42,11
104000108,3,7,11,12,16,30,13
104000107,8,12,13,29,37,49,43
104000106,5,6,11,15,18,25,31
104000105,4,11,18,22,23,31,19
104000104,1,4,25,29,42,43,11
104000103,8,15,32,36,40,43,3
104000102,16,21,34,37,41,47,29
104000101,6,13,15,19,37,41,22
104000100,4,5,23,25,40,41,11
104000099,1,9,13,28,29,48,45
104000098,4,9,10,39,40,42,8
104000097,2,7,26,31,44,47,36
104000096,1,11,16,18,31,33,19
104000095,7,10,11,27,28,45,21
104000094,8,24,27,30,45,49,42
104000093,8,16,22,28,45,48,13
104000092,3,6,8,15,20,30,40
104000091,7,8,10,17,34,36,43
104000090,1,16,41,43,46,47,25
104000089,12,17,32,37,38,39,27
104000088,20,25,29,31,40,44,21
104000087,24,29,31,32,44,49,39
104000086,2,8,22,27,35,43,24
104000085,3,8,10,28,38,47,13
104000084,11,15,36,41,44,45,35
104000083,1,3,25,31,35,44,15
104000082,9,13,21,25,38,39,2
104000081,6,10,39,44,46,47,30
104000080,6,16,17,36,37,41,28
104000079,2,13,30,31,34,44,39
104000078,5,10,18,29,41,44,30
104000077,8,28,31,32,36,43,9
104000076,19,20,44,46,47,49,9
104000075,9,18,19,20,40,48,3
104000074,8,11,12,15,40,46,16
104000073,13,15,22,26,45,47,49
104000072,10,15,20,21,27,36,45
104000071,8,20,29,30,42,49,21
104000070,5,13,14,23,24,42,35
104000069,1,2,35,43,45,46,14
104000068,25,26,27,28,36,37,38
104000067,3,12,17,19,38,48,43
104000066,13,16,18,30,32,40,29
104000065,6,15,27,32,44,49,16
104000064,10,12,25,33,39,42,29
104000063,8,9,16,39,40,44,28
104000062,4,7,20,27,33,40,38
104000061,10,12,14,19,30,45,41
104000060,5,6,13,26,29,47,33
104000059,1,14,27,33,42,46,41
104000058,21,23,28,29,41,46,24
104000057,18,19,32,35,46,48,47
104000056,5,6,12,28,29,41,7
104000055,2,13,33,35,43,45,5
104000054,3,5,11,18,25,38,15
104000053,3,4,25,35,41,45,7
104000052,8,19,22,24,26,28,18
104000051,3,20,27,34,37,44,12
104000050,8,21,32,35,41,48,34
104000049,1,7,19,20,46,47,13
104000048,2,5,11,28,32,34,24
104000047,2,10,11,20,26,45,30
104000046,3,21,23,28,37,43,5
104000045,15,16,29,39,42,46,14
104000044,3,6,18,27,29,32,40
104000043,1,13,23,29,31,33,17
104000042,2,10,15,28,44,49,39
104000041,8,28,41,42,44,49,30
104000040,8,15,25,29,47,49,9
104000039,3,5,12,26,36,44,23
104000038,13,25,31,35,41,46,49
104000037,1,3,11,22,29,33,30
104000036,26,32,33,36,45,47,39
104000035,1,22,23,38,48,49,11
104000034,10,11,17,20,42,44,13
104000033,11,17,19,33,45,47,4
104000032,13,32,36,40,42,43,41
104000031,2,4,13,25,32,43,15
104000030,12,13,15,18,24,36,39
104000029,3,4,6,9,17,24,28
104000028,4,7,9,13,29,46,8
104000027,5,32,36,40,42,49,1
104000026,6,9,14,16,22,33,11
104000025,3,11,25,34,46,47,42
104000024,6,21,22,35,37,44,29
104000023,4,6,11,41,43,46,21
104000022,2,6,27,34,38,43,45
104000021,3,28,39,41,46,48,9
104000020,14,20,21,32,38,43,23
104000019,3,6,12,34,37,43,28
104000018,2,5,11,17,27,40,20
104000017,5,9,10,28,29,45,41
104000016,7,25,27,31,40,49,11
104000015,3,6,15,16,27,31,14
104000014,3,11,15,23,40,46,13
104000013,1,9,15,25,29,35,38
104000012,14,15,26,29,35,44,9
104000011,5,11,29,36,42,46,48
104000010,5,13,15,16,18,30,8
104000009,3,14,24,35,39,44,28
104000008,4,9,15,21,27,45,6
104000007,8,16,20,38,39,42,29
104000006,9,24,28,35,45,47,48
104000005,2,17,28,32,38,46,49
104000004,2,14,16,22,37,46,49
104000003,7,8,18,21,23,24,11
104000002,11,16,29,30,37,43,13
104000001,13,22,23,29,31,48,6
