104000296,23,24,26,10,37
104000295,38,8,36,5,32
104000294,16,21,2,22,23
104000293,36,39,24,14,27
104000292,30,34,21,10,38
104000291,12,11,38,36,14
104000290,19,6,34,10,28
104000289,10,12,21,5,24
104000288,6,37,8,33,16
104000287,14,23,19,20,4
104000286,13,15,19,34,6
104000285,12,3,10,37,28
104000284,21,39,20,13,30
104000283,3,27,2,10,20
104000282,19,22,6,9,2
104000281,9,10,35,37,3
104000280,22,34,4,13,25
104000279,15,22,12,35,9
104000278,4,34,17,3,32
104000277,13,33,39,8,27
104000276,31,2,12,11,16
104000275,23,13,25,11,10
104000274,31,15,25,8,1
104000273,21,1,29,5,7
104000272,9,26,11,30,13
104000271,13,10,21,8,11
104000270,15,22,1,33,6
104000269,31,2,3,39,11
104000268,17,1,38,20,11
104000267,3,14,25,13,37
104000266,22,35,27,3,18
104000265,11,38,23,6,32
104000264,37,19,18,31,25
104000263,27,39,38,4,37
104000262,34,7,22,33,3
104000261,31,4,9,16,1
104000260,28,29,35,25,4
104000259,24,27,7,20,26
104000258,8,12,21,14,39
104000257,28,32,13,21,9
104000256,36,6,1,16,15
104000255,21,6,15,37,18
104000254,23,19,8,39,11
104000253,33,30,22,14,15
104000252,23,1,6,25,19
104000251,1,28,25,7,23
104000250,34,10,37,24,22
104000249,39,37,3,25,19
104000248,39,31,22,33,32
104000247,20,10,31,23,12
104000246,4,22,10,2,36
104000245,14,8,31,39,22
104000244,25,20,37,10,39
104000243,30,28,39,19,27
104000242,7,26,12,10,39
104000241,34,15,10,39,33
104000240,11,38,36,28,7
104000239,19,24,3,14,17
104000238,34,8,14,7,17
104000237,13,26,25,2,31
104000236,35,13,20,4,1
104000235,21,19,7,39,2
104000234,22,19,9,36,21
104000233,5,29,32,15,12
104000232,29,1,3,25,32
104000231,29,3,8,38,33
104000230,23,35,2,37,21
104000229,15,4,18,37,39
104000228,16,31,8,33,9
104000227,22,30,4,11,2
104000226,18,31,1,27,10
104000225,18,6,22,37,33
104000224,30,1,27,23,2
104000223,18,38,27,9,25
104000222,39,25,2,26,3
104000221,36,25,22,8,2
104000220,1,24,5,7,14
104000219,30,34,10,1,28
104000218,39,3,13,34,27
104000217,34,18,6,13,39
104000216,21,8,24,13,38
104000215,13,8,39,34,18
104000214,21,36,25,20,23
104000213,19,23,15,36,16
104000212,12,32,24,13,7
104000211,18,2,14,4,6
104000210,12,27,31,28,2
104000209,29,23,31,28,17
104000208,2,33,36,34,11
104000207,29,6,27,26,36
104000206,20,18,4,29,6
104000205,22,10,30,20,33
104000204,30,24,10,17,22
104000203,4,35,6,30,7
104000202,25,22,28,33,8
104000201,28,25,22,5,11
104000200,25,38,19,28,17
104000199,25,24,15,12,3
104000198,1,35,36,4,39
104000197,4,34,17,13,30
104000196,6,30,15,31,28
104000195,3,15,31,10,19
104000194,16,17,4,33,6
104000193,13,8,12,38,31
104000192,11,26,9,32,23
104000191,13,35,5,9,7
104000190,27,26,5,30,24
104000189,10,20,11,39,6
104000188,25,36,4,2,23
104000187,18,39,1,9,27
104000186,31,30,27,10,5
104000185,29,5,10,17,37
104000184,21,24,15,20,1
104000183,10,27,9,32,22
104000182,38,36,32,14,16
104000181,25,10,29,18,28
104000180,35,8,21,32,33
104000179,12,29,14,11,32
104000178,30,5,13,9,3
104000177,17,26,9,14,2
104000176,27,31,28,19,5
104000175,31,19,29,39,30
104000174,37,14,4,20,19
104000173,15,11,39,3,18
104000172,10,37,38,35,31
104000171,27,21,38,36,16
104000170,23,8,26,3,15
104000169,37,9,39,26,21
104000168,28,20,26,39,34
104000167,15,37,8,32,33
104000166,1,29,24,16,14
104000165,16,11,3,6,23
104000164,14,2,25,15,1
104000163,27,29,32,23,5
104000162,34,10,12,38,13
104000161,36,5,28,23,25
104000160,3,14,39,24,33
104000159,36,18,29,23,33
104000158,17,33,9,25,14
104000157,18,5,11,30,19
104000156,3,28,11,2,38
104000155,7,10,26,34,16
104000154,17,31,35,25,22
104000153,20,39,30,12,9
104000152,4,39,1,33,10
104000151,26,6,8,29,19
